qid,docid,llm_grade,systems,model
100_1,MARCO_212043,3,gpt-4o-mini,gpt-4o-2024-08-06
100_1,MARCO_2640864,3,gpt-4o-mini,gpt-4o-2024-08-06
100_1,MARCO_3296379,0,gpt-4o,gpt-4o-2024-08-06
100_1,MARCO_40253,1,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_1,MARCO_5685113,1,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_1,MARCO_5717787,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_1,MARCO_5717788,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_1,MARCO_6382556,1,gpt-4o,gpt-4o-2024-08-06
100_1,MARCO_7989285,1,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_1,MARCO_8367825,2,human|llama-3.1-8b-instant|quretec|raw|t5,gpt-4o-2024-08-06
100_2,CAR_26bef633cb590415fa3db95f56f634b4a553df0c,0,raw,gpt-4o-2024-08-06
100_2,MARCO_1802774,0,raw,gpt-4o-2024-08-06
100_2,MARCO_2522243,0,raw,gpt-4o-2024-08-06
100_2,MARCO_3395486,0,raw,gpt-4o-2024-08-06
100_2,MARCO_4198998,3,gpt-4o-mini,gpt-4o-2024-08-06
100_2,MARCO_5049049,0,raw,gpt-4o-2024-08-06
100_2,MARCO_5561852,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
100_2,MARCO_5830270,3,t5,gpt-4o-2024-08-06
100_2,MARCO_5990063,3,llama-3.1-8b-instant|quretec,gpt-4o-2024-08-06
100_2,MARCO_606106,4,gpt-4o,gpt-4o-2024-08-06
100_2,MARCO_8537787,0,raw,gpt-4o-2024-08-06
100_3,MARCO_2502376,0,raw,gpt-4o-2024-08-06
100_3,MARCO_3138292,0,raw,gpt-4o-2024-08-06
100_3,MARCO_4227056,0,gpt-4o,gpt-4o-2024-08-06
100_3,MARCO_4729726,0,raw,gpt-4o-2024-08-06
100_3,MARCO_5561850,0,t5,gpt-4o-2024-08-06
100_3,MARCO_5782533,1,t5,gpt-4o-2024-08-06
100_3,MARCO_5990061,1,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_3,MARCO_606106,0,gpt-4o,gpt-4o-2024-08-06
100_3,MARCO_6470598,0,raw|t5,gpt-4o-2024-08-06
100_3,MARCO_7823601,0,raw,gpt-4o-2024-08-06
100_3,MARCO_8175403,0,gpt-4o,gpt-4o-2024-08-06
100_3,MARCO_8367821,0,t5,gpt-4o-2024-08-06
100_4,CAR_f1e277137824154baf91eced9f4b5efccb4a5bfb,3,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_4,MARCO_1469344,2,human,gpt-4o-2024-08-06
100_4,MARCO_2095216,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
100_4,MARCO_2667683,2,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_4,MARCO_312000,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_4,MARCO_5035800,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
100_4,MARCO_535960,1,t5,gpt-4o-2024-08-06
100_4,MARCO_553071,2,gpt-4o|quretec|raw,gpt-4o-2024-08-06
100_4,MARCO_5884914,2,t5,gpt-4o-2024-08-06
100_4,MARCO_59384,1,t5,gpt-4o-2024-08-06
100_4,MARCO_6444034,1,t5,gpt-4o-2024-08-06
100_4,MARCO_6696148,4,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_4,MARCO_7416761,3,gpt-4o-mini,gpt-4o-2024-08-06
100_4,MARCO_7416762,2,llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_4,MARCO_7676853,1,t5,gpt-4o-2024-08-06
100_4,MARCO_7971220,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
100_4,MARCO_8139986,2,gpt-4o|gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
100_5,CAR_a0e4e2ea9ddb43f3baee3440be61e07dea141a99,0,t5,gpt-4o-2024-08-06
100_5,CAR_fc9a3fecd421455dc576ec2023ad02249b32eaf7,0,raw,gpt-4o-2024-08-06
100_5,MARCO_1290844,1,gpt-4o-mini,gpt-4o-2024-08-06
100_5,MARCO_209428,2,t5,gpt-4o-2024-08-06
