depth,baseline_mean,baseline_std,baseline_n,llm_mean,llm_std,llm_n
1,4.420714285714285,5.611926030830253,1400,11.0,7.158212067269313,50
2,5.501428571428572,5.889457720783634,1400,6.72,5.827658191761078,50
3,5.555714285714286,5.828970399510307,1400,8.14,5.841266985851614,50
4,5.341428571428572,5.742622418799442,1400,8.22,7.411585525378494,50
5,5.772857142857143,6.110632920891056,1400,8.74,6.828791986874398,50
6,6.061428571428571,6.155294883434978,1400,6.74,5.487476651430965,50
7,5.725,6.121923425572344,1400,6.84,5.7248930121007495,50
8,6.326636904761905,6.413202899307464,1344,9.229166666666666,7.45609254048139,48
9,6.646428571428571,6.546399345270276,1120,8.4,5.961543424315552,40
10,6.385467980295567,6.639776811839665,812,9.137931034482758,7.152159731355974,29
11,6.662698412698413,6.508946640537358,252,7.888888888888889,5.4251358292149785,9
12,8.380952380952381,7.427274001473927,84,5.666666666666667,4.4969125210773475,3
